Accession Number,Transcript Id,FPKM Value
NW_006432224.1,10616,2.93
NW_006432224.1,10617,7.1
NW_006432224.1,10618,5.18
NW_006432224.1,10619,1.85
NW_006429782.1,1062,8.23
NW_006432224.1,10620,2.54
NW_006432224.1,10621,2.31
NW_006432224.1,10622,3.37
NW_006432224.1,10623,2.84
NW_006432224.1,10624,15.92
NW_006432224.1,10625,4.31
NW_006432224.1,10626,7.0
NW_006432224.1,10627,0.0
NW_006432224.1,10628,9.28
NW_006432224.1,10629,3.42
NW_006429782.1,1063,3.69
NW_006432224.1,10630,4.22
NW_006432224.1,10631,1.82
NW_006432224.1,10632,6.35
NW_006432224.1,10633,4.5
NW_006432224.1,10634,4.57
NW_006432224.1,10635,6.68
NW_006432224.1,10636,3.41
NW_006432224.1,10637,3.4
NW_006432224.1,10638,3.74
NW_006432224.1,10639,4.58
NW_006429782.1,1064,5.94
NW_006432224.1,10640,7.28
NW_006432224.1,10641,3.09
NW_006432224.1,10642,9.38
NW_006432224.1,10643,4.58
NW_006432224.1,10644,3.81
NW_006432224.1,10645,4.51
NW_006432224.1,10646,2.87
NW_006432224.1,10647,5.73
NW_006432224.1,10648,2.86
NW_006432224.1,10649,4.97
NW_006429782.1,1065,12.27
NW_006432224.1,10650,1.9
NW_006432224.1,10651,2.68
NW_006432224.1,10652,2.38
NW_006432224.1,10653,3.99
NW_006432224.1,10654,4.62
NW_006432224.1,10655,2.23
NW_006432224.1,10656,5.24
NW_006432224.1,10657,4.18
NW_006432224.1,10658,3.54
NW_006432224.1,10659,30.14
NW_006429782.1,1066,4.05
NW_006432224.1,10660,3.17
NW_006432224.1,10661,30.97
NW_006432224.1,10662,16.68
NW_006432224.1,10663,7.34
NW_006432224.1,10664,3.69
NW_006432224.1,10665,4.54
NW_006432224.1,10666,2.6
NW_006432224.1,10667,0.0
NW_006432224.1,10668,3.74
NW_006432224.1,10669,4.47
NW_006429782.1,1067,10.31
NW_006432224.1,10670,7.79
NW_006432224.1,10671,4.53
NW_006432224.1,10672,4.54
NW_006432224.1,10673,3.84
NW_006432224.1,10674,4.65
NW_006432224.1,10675,2.46
NW_006432224.1,10676,6.41
NW_006432224.1,10677,2.89
NW_006432224.1,10678,5.33
NW_006432224.1,10679,4.81
NW_006429782.1,1068,4.9
NW_006432224.1,10680,8.79
NW_006432224.1,10681,6.77
NW_006432224.1,10682,5.39
NW_006432224.1,10683,1.82
NW_006432224.1,10684,3.75
NW_006432224.1,10685,4.12
NW_006432224.1,10686,13.63
NW_006432224.1,10687,10.03
NW_006432224.1,10688,2.83
NW_006432224.1,10689,2.36
NW_006429782.1,1069,3.95
NW_006432224.1,10690,8.36
NW_006432224.1,10691,21.63
NW_006432224.1,10692,17.69
NW_006432224.1,10693,20.88
NW_006432224.1,10694,13.68
NW_006432224.1,10695,5.89
NW_006432224.1,10696,2.74
NW_006432224.1,10697,0.83
NW_006432224.1,10698,1.39
NW_006432224.1,10699,5.33
NW_006429596.1,107,4.82
NW_006429782.1,1070,1.88
NW_006432224.1,10700,2.16
NW_006432224.1,10701,4.89
NW_006432224.1,10702,4.52
NW_006432224.1,10703,5.68
NW_006432224.1,10704,4.03
NW_006432224.1,10705,4.79
NW_006432224.1,10706,6.98
NW_006432224.1,10707,6.7
NW_006432224.1,10708,5.16
NW_006432224.1,10709,2.31
NW_006429782.1,1071,3.25
